(...) (alle) miteinander (Gruß),(Betrag) plus/minus (Abweichungsbetrag/Toleranz)
(...) Leute,(Jahre) bis zum Schuleintritt
(...) Leuts,(Jemandem) eine Absage erteilen
(...) allerseits (Gruß),(Komparativ) und (Komparativ)
(...) angehaucht (Person),(Tätigkeitsbezeichnung) sein bei
(...) in die Runde (Gruß),"(Versprechen, Termin) halten"
(...) zusammen (Gruß),"(Zusage, Termin) einhalten"
(Betriebsart ...) fahren,(alles) spricht für
(Business-)Kontakt,(auf die Dauer o.ä. ziemlich) anstrengend
(Fragewort) (denn) sonst,(auf einmal) weg
(Fragewort) anders,(auf jemanden) hören
(Grad an) Interesse,(auf jmd.) verzichten
(Leben und) Gesundheit,(daraus) wird nichts
(Streit) vom Zaun brechen,(das) Mädchen
(Superlativ)möglich,(das) Nötige veranlassen
(Warzen o.ä.) besprechen,(das) Schaffen
(achtungsvoll) aufblicken zu,(das) Umschlagen
(aller)erste Sahne,(das) Wirken
(an etwas) dran sein,(das) Wohl und Wehe
(auf jemanden) hören,(das) kann gar nicht
(aus etwas) Kapital schlagen,(das) sieht ein Blinder mit dem Krückstock
(bei / aus etwas etwas anderes) lernen,(den) Kaffee auf haben
(bei etwas) mit im Boot sitzen,(den) Zünder entfernen
(bei jemandem) Station machen,(den) inneren Schweinehund überwinden (und)
(bisher) nicht beantwortet,(der) Durchbruch
(darin) involviert (sein),(die Situation) entschärfen
(das) Austauschen,(die Situation) entspannen
(das) Auswechseln,(die) Faxen dicke haben
(das) Ersetzen,(die) Hand heben
(das) Machbare,(die) Kuh ist vom Eis
(das) Wort ergreifen,(die) Macht der Gewohnheit
(das) fetzt,(die) Nase gestrichen voll haben
(das) hört sich gut an,(die) Nase voll haben (von)
(das) klingt gut,(die) Regeln
(das) rockt,(die) Schnauze gestrichen voll haben
(die) Bedeutung haben,(die) Schnauze voll haben
(die) Erfahrung gewinnen (dass),(die) Stätte seines Wirkens
(die) Frau an seiner Seite,(die) Verantwortung übernehmen (für)
(die) Gunst der Stunde nutzen,(die) Wogen glätten
(durchaus) im Bereich des Möglichen (liegen),(die) andere Seite der Medaille
(ein Verhalten) annehmen,(die) landläufige Vorstellung
(ein) Kaleidoskop (von),(die) logische Konsequenz (sein)
(ein) Statement setzen,(die) übliche Vorstellung
(ein) Traum,(durchaus) ausbaufähig
(ein) anderer Mensch (sein),(durchaus) plausibel
(ein) anderer Mensch werden,(echte) Aufgabe
(ein) bisschen dalli!,(ein) (ganz) klarer Fall
(ein) gemachter Mann (sein),(ein) Aber
(ein) hörendes Ohr (haben),(ein) Erfolg
(ein) verschiedenes Paar Schuhe,(ein) Muss
(eine) Hoffnung hegen,(ein) Must
(eine) Lehre ziehen (aus),(ein) Must-have
(eine) Möglichkeit schaffen,(ein) Treffer
(eine) Offenbarung,(ein) Triumph
(eine) Seele von Mensch,(ein) Volltreffer
(eine) Stellungnahme abgeben (zu),(ein) großer Wurf
(eine) Zusage abgeben,(ein) gutes Wort einlegen (für)
(eine) Zusage machen,(ein) verschiedenes Paar Schuhe
(eine) bunte Mischung (von),(einander) gegenübergestellt
(eine) wahre Wonne,(eine Grenze) knacken
(einem Rat) folgen,(eine) (ganz) klare Kiste
(einen Rat) befolgen,(eine) Aufgabe übernehmen
(einen) Fuß in der Tür haben,(eine) Herausforderung
(einen) Redebeitrag leisten,(eine) Kleine
(einen) Test machen,(eine) Lanze brechen für
(einen) Versuch wagen,(eine) Sache in die Hand nehmen
(einen) Wunsch haben,(eine) Welle von
(einen) Wunsch hegen,(einem Rat) folgen
(einer Sache) Folge leisten,(einen Rat) befolgen
(einer Sache) Rechnung tragen,(einen) Cut machen
(einer Sache) Sorge tragen,(einen) Hass haben auf
(einer Sache) genügen,(einen) Plan fassen
(einer Sache) gleichkommen,(einen) hohen Stellenwert genießen
(einer Sache) standhalten,(einen) hohen Stellenwert haben
(einmal) angenommen,(einer Sache) Folge leisten
(einmal) unterstellt (dass),(einer Sache) Sorge tragen
(emotional) intensiv,(einer Sache) die Schärfe nehmen
(er)hoffen,(einer Sache) ein Ende setzen
(es sich) zur Aufgabe machen,(einer Sache) müde (sein)
(es) abgesehen haben auf,(einer Sache) überdrüssig sein
(es) geschafft haben,(einfach) drauflos
(es) gibt,(einziger) Nachteil
(es) sei,(eiskalt) abservieren
(et)was tun,(es gibt) Entwicklungsbedarf
(etwas ist) ein Aufwasch,(es gibt) nichts zu diskutieren
(etwas) am Hut haben (mit),(es sich) zur Aufgabe machen
(etwas) annehmen,(es) ist gut
(etwas) ausprobieren,(es) ist nicht getan (mit)
(etwas) ausschlachten,(etwas) anstreben
(etwas) erhoffen,(etwas) anvisieren
(etwas) im Stehen auf der Treppe erledigen,(etwas) beibringen
(etwas) kann jeder,(etwas) erwägen
(etwas) macht einen anderen Menschen (aus jemandem),(etwas) gehört auf jeden Fall dazu
(etwas) mitnehmen,(etwas) hinter sich bringen
(etwas) mitnehmen aus,(etwas) im Auge haben
(etwas) nicht anders wollen,(etwas) im Sinn haben
(etwas) nicht ausschließen können,(etwas) in die Hand nehmen
(etwas) provozieren,(etwas) klären
(etwas) quittieren (mit),(etwas) leid sein
(etwas) sagen zu,(etwas) lässt tief blicken
(etwas) unterstellen,(etwas) managen
(etwas) wollen,(etwas) nicht mehr hören können
(frei) von der Leber weg,(etwas) petzen
"(fälschlicherweise) denken, dass",(etwas) planen
(für ...) gut,(etwas) regeln
(für etwas) Sorge tragen,(etwas) satt haben
(für jemanden) Programm machen,(etwas) tun für
(für jemandes) Unterhalt aufkommen,(etwas) von sich hören lassen
(für seine Zwecke) nutzen,(etwas) vor Augen haben
(für seine Zwecke) zu nutzen verstehen,(etwas) vorhaben
(ganz) oben angekommen (sein),(etwas) weitergeben
(geht) in Ordnung,(etwas) überbekommen
(genau) wissen wollen,(fort) wie weggeblasen
(gezielt) suchen,(freundliches) Entgegenkommen (in Geschäftsbriefen)
(gute) Beschaffenheit,(für etwas) Sorge tragen
(günstige) Gelegenheit,(für jemanden) bereitstehend
(herum)kramen,(für jemanden) frei gehalten
(herum)kruschteln,(für jemanden) reserviert
(herum)stöbern,(gerade) Ausrichtung
(herum)suchen (ohne System),(gerade) Linie
(herum)wühlen,(gerade) Reihe
(ich hab schon) verstanden,(großartige) Leistung
(im) Schlepptau,(gut) nachvollziehen können
(immer) im Doppelpack,(gut) verstehen können
(immer) zusammen,(günstige) Gelegenheit
(in jemandem) reift die Erkenntnis (dass),(im) Kindesalter
(irgendwo) Stammgast sein,(innere) Einstellung
(irgendwo) häufig verkehren,(innerlich) in Aufruhr
(irrigerweise) annehmen,(innerlich) zerrissen
(ist) gebongt!,(ins Geschehen) eingreifen
(ist) gemacht!,(irgendwie) auftreten
(ist) möglicherweise (so),(irgendwohin) gehen
(ist) okay,(jemand) hat es hinter sich
(jemandem etwas) anbieten,(jemand) hätte mehr erwartet
(jemandem etwas) ins Gesicht (sagen),(jemand) kann kaum die Augen aufhalten
(jemandem mit etwas) aufwarten,(jemandem etwas) erklären
(jemandem) (...) entgegenbringen,(jemandem etwas) ins Gesicht (sagen)
(jemandem) Dank aussprechen,(jemandem etwas) verpassen
(jemandem) Dank sagen,(jemandem) absagen
(jemandem) Einlass gewähren,(jemandem) bis Oberkante Unterlippe stehen
(jemandem) Stütze (sein),(jemandem) bis da stehen (+ Geste)
(jemandem) Zutritt gewähren,(jemandem) bis hier stehen (+ Geste)
(jemandem) auf die Bude rücken,(jemandem) den Rest geben
(jemandem) begegnen,(jemandem) den Stuhl vor die Tür setzen
(jemandem) begegnen mit,(jemandem) den Vertrag nicht verlängern
(jemandem) entgegengebracht werden,(jemandem) fallen die Augen zu
(jemandem) entgegenkommend,(jemandem) gram sein
(jemandem) entgegenschlagen,(jemandem) langen
(jemandem) guttun,(jemandem) reichen
(jemandem) in die Arme spielen,(jemandem) vorbehalten
(jemandem) in die Hände spielen,(jemandem) wichtig sein
(jemandem) in die Karten spielen,(jemandem) zeigen (was er zu machen hat)
(jemandem) runtergehen wie Öl,(jemandem) zu blöd werden
(jemandem) schmeicheln,(jemandem) zu dumm sein
(jemandem) seine Aufwartung machen,(jemandem) zu dumm werden
(jemandem) wichtig sein,(jemanden / etwas) verraten
(jemandem) zu Hilfe kommen (passiv),(jemanden) (schnell) abfertigen
(jemandem) zuteil werden,(jemanden) alle machen
(jemanden) (mit seinem Besuch) beehren,(jemanden) beanspruchen
(jemanden) aushalten,(jemanden) behelligen
(jemanden) bespaßen,(jemanden) bemühen
(jemanden) durchbringen,(jemanden) einvernehmen (bürokrat./jurist.)
(jemanden) einlassen,(jemanden) erledigen
(jemanden) eintreten lassen,(jemanden) fertigmachen
(jemanden) hereinlassen,(jemanden) geben
(jemanden) sehen,(jemanden) grillen
(jemanden) treffen,(jemanden) kaputtmachen
(jemanden) unterhalten,(jemanden) kündigen
(jemanden) versorgen,(jemanden) loswerden
(jemanden) vorlassen,(jemanden) schulen
(jemandes ganzes) Dichten und Trachten,(jemanden) zur Strecke bringen
