Lebensort,Bildungsort
(...) (alle) miteinander (Gruß),(...) (alle) miteinander (Gruß)
(...) Leute,(...) Leute
(...) Leuts,(...) Leuts
(...) allerseits (Gruß),(...) allerseits (Gruß)
(...) in die Runde (Gruß),(...) in die Runde (Gruß)
(...) oder so,(...) zusammen (Gruß)
(...) und so,(Grad an) Interesse
(...) zusammen (Gruß),(aller)erste Sahne
(die eigenen) vier Wände,(bei / aus etwas etwas anderes) lernen
(die) Frau an seiner Seite,(das) Entstehen
(die) Linie der,(das) Werden
(etwas ist) ein Aufwasch,(das) fetzt
(etwas) sein Zuhause nennen,(das) rockt
(ganz) auf sich gestellt,(der) Durchbruch
(ganz) für sich,(der) Haussegen hängt schief
(ganze) Bagage,(die) Ausbildung
(großer) Meister (Anrede),(die) Erfahrung gewinnen (dass)
(immer) im Doppelpack,(die) Frau an seiner Seite
(immer) zusammen,(die) Kacke ist am dampfen
(irgendwo) hocken,(die) Toilette benutzen (wollen)
(irgendwo) pennen,(die) Verpflichtung haben (etwas zu tun)
(irgendwo) schlafen,(du) Traum meiner schlaflosen Nächte
(irgendwo) unterkommen,(durchaus) ausbaufähig
(irgendwo) zu Hause sein,(ein) Donnerwetter
(jemandem) Stütze (sein),(ein) Erfolg
(jemandes) Klause,(ein) Traum
(jemandes) Refugium,(ein) Treffer
(jemandes) Rückzugsort,(ein) Triumph
(jemandes) Zuhause,(ein) Volltreffer
(jemandes) stilles Kämmerlein,(ein) dringendes Bedürfnis verspüren
(mit jemandem) zusammen,(ein) großer Wurf
(noch) frei,(ein) menschliches Rühren verspüren
(noch) zu haben,(einander) freundschaftlich verbunden
(oder) meinetwegen,(eine) Herausforderung
(schräge) Typen,(eine) Lanze brechen für (jemanden / etwas)
(sein) Zuhause haben,(eine) Lehre ziehen (aus)
(sich) in Morpheus' Armen wiegen,(eine) Mahlzeit zu sich nehmen
(sich) selbst überlassen,(eine) Offenbarung
(sicher wie) in Abrahams Schoß,(eine) Seele von Mensch
(sieben) auf einen Streich,(einer Sache) Rechnung tragen
(verdreckte) Wohnung,(es gibt) Entwicklungsbedarf
(völlig) allein,(es sich) schmecken lassen
(völlig) isoliert,(es) für seine Pflicht halten (etwas zu tun)
(wind)geschützt,(es) ist nicht getan (mit)
...bruder,(etwas tun) dürfen
...freund,(etwas tun) können
...gemäß,(etwas tun) müssen
...kollege,(etwas tun) sollen
...kumpan,(etwas) Dringendes zu erledigen haben
Abkunft,(etwas) mitnehmen aus
Abschirmung,(etwas) zu tun haben
Abstammung,(finanziell) fördern
Adoptivvater,(finanziell) stärken
All,(finanziell) stützen
Alte,(finanziell) unterstützen
Alter,(für ...) gut
Alter (Anrede unter Jüngeren),(geht) in Ordnung
Angehörige,(genüsslich) essen
Angliederung,(großartige) Leistung
Anhang,(große) Qualen ausstehen
Annäherung,(großer) Erfolg
Apartment,(hoher) Druck
Areal,(in jemandem) reift die Erkenntnis (dass)
Aspekt,(ist) gebongt!
Asyl,(ist) gemacht!
Atze,(ist) okay
Aufsicht,(jemand) hätte mehr erwartet
Augenbutter,(jemandem) Stütze (sein)
Augenschleim,(jemandem) den Rücken stärken
Augensteine,(jemandem) den Weg ebnen
Auszeit,(jemandem) die Hand reichen
Auszeit (vom Job),(jemandem) die Stange halten
Begegnung,(jemandem) die Steine aus dem Weg räumen
Behausung,(jemandem) hilfreich zur Seite stehen
Beisammensein,(jemandem) in die Arme spielen
Beistand,(jemandem) in die Hände spielen
Bereich,(jemandem) in die Karten spielen
Bereitschaftspflege,(jemandem) lachen (lit.)
Berührung,(jemandem) obliegen (etwas zu tun)
Beschäler,(jemandem) unter die Arme greifen
Betreuung,(jemandem) zu Hilfe kommen (passiv)
Bett,(jemandem) zugedacht sein
Bettgenosse,(jemandem) zusetzen
Bettstatt,(jemanden) abgeben
Bettstelle,(jemanden) geben (Rolle)
Bettung,(jemanden) unter seine Fittiche nehmen
Bewegungsfreiheit,(jemandes) (verdammte) Pflicht und Schuldigkeit sein
Beziehung,(jemandes) Pflicht sein (etwas zu tun)
Beziehungskiste,(kurze) Pause
Bezug,(linkes o.ä.) Spektrum
Biosphäre,(mal) auf die Toilette (gehen) müssen
Biotop,(mal) müssen
Blase,(mal) verschwinden müssen
Bleibe,(mal) wohin müssen
Boyfriend,(mal) zur Toilette (gehen) müssen
Bruder,(mit) Hand anlegen
Bruder (Anrede),(noch in der) Entwicklung
Bruderherz,(noch) in den Kinderschuhen stecken
Brückenschlag,(psychische) Belastung
Brüder,(sich) Wissen aneignen
Bubu machen,(sich) aneignen
Bude,(sich) anpassen
Budget,(sich) auf den Hintern setzen (und)
"Bürschchen (Anrede, drohend)",(sich) auf den Hosenboden setzen
Clan,(sich) bemüßigt fühlen (zu)
Community,(sich) bemüßigt sehen (zu)
Cowboy (Anrede),(sich) einen abgrinsen (müssen)
Dach über dem Kopf,(sich) einfügen
Dach überm Kopf,(sich) eingliedern
Diakonisse,(sich) einordnen
Diakonissin,(sich) einverleiben
Domizil,(sich) finanziell beteiligen (an)
Dreck(s)bude,(sich) freuen dürfen auf
Dreck(s)loch,(sich) freuen können auf
Dreck(s)stall,(sich) gehalten sehen (zu)
Dritter Ort,(sich) genötigt sehen
Ellbogenfreiheit,(sich) gezwungen sehen
Eltern mit ihren Kindern,(sich) gütlich tun (an)
Elternhaus,(sich) integrieren
Entlastungsstelle,(sich) nützlich machen
Erholungsort,(sich) präparieren
Erleichterung,(sich) quälen
Etat,(sich) unverhohlen freuen
Falle,(sich) veranlasst sehen
Familia,(sich) vorbereiten (auf)
Familiarität,(sich) vorteilhaft auswirken (für)
Familie,(sich) zu Gemüte führen
Familienbande,(sich) zu eigen machen
Familienclan,(tiefe) Bewusstlosigkeit
Familiensystem,(von) minderer Güte
Familienverband,(von) schlechter Qualität
Figuren,(wirtschaftlicher) Erfolg
Finanzplan,(zu etwas) dienen
Fluchtpunkt,*
Fläche,...fimmel
Freizügigkeit,...gut
Freund,...leidenschaft
"Freundchen (Anrede, drohend)",...manie
Freundin,...material
Freundschaft,...riege
Frühstück,...schreck
Furzkiste,...stoff
Fuzzis,...sucht
Fürsorge,...trieb
Fürsorglichkeit,...wahn
Galan,...zwang
Garten Eden,1A
Gebiet,1a
Geblüt,7-Punkte-Programm
Geborgenheit,ADHS
Geborgensein,ADS
Gebrüder,Abgeschlagenheit
Geburt,Abgeschlossenheit
Gegend,Abgliederung
Gelass,Abkanzelung
Geliebter,Abkapselung
Gemach,Abkunft
Gemein...,Ablauf
Gemeinde,Abmahnung
Gemeinschaft,Abreibung
Gemeinschaftlichkeit,Abscheidung
Geschlecht,Abschluss
Gesichtspunkt,Abschluss (von Geschäften)
Gespiele,Abschlussprüfung (einer gewerblichen Berufsausbildung)
Gestalten,Abschätzung
Gewahrsam,Absonderung
Gönnerschaft,Abstammung
Günstling,Abteilung
Habitat,Abtrennung
Hand in Hand,Abwechslung
Hanseln (herablassend),Achtung
Hauptwohnsitz,Adhortation
Hauptwohnung,Affe
Haus,Agens
Hausarbeit(en),Aide-mémoire
Hausfreund,Akademie
Hausgemeinschaft,Aktennotiz
Hausgenossenschaft,Akzeptanz
Haushalt,Akzeptierung
Haushaltsplan,Alk
Hausstand,Alkohol
Hauswesen,Alkoholika
Heia,Alte
Heiabett,Amok
Heim,Amüsement
Heimatort,Analyse
Heimstatt,Anerkennung
Herkommen,"Angebot, das jemand nicht ablehnen kann"
Herkunft,Angliederung
Herkunftsfamilie,Anlage
Hilfe,Anleiter
Hilfestellung,Anleitung
Hinsicht,Anmeldung
Hoggedse,Annahme
Horizont,Annotation
Häuslichkeit,Annäherung
Idyll,Anordnung
Idylle,Anpfiff
Insel der Seligen,Anschauung
Interaktion,Anschiss
Ische,Ansehen
Jungs (Anrede),Ansicht
Kabinett,Anteilnahme
Kabuff,Anweisung
Kameradschaft,Aperçu
Kammer,Arbeit
Karenz,Arbeit (= Produkt)
Kavalier,Arbeitsbrigade
Kerl,Arbeitsgruppe
Kernfamilie,Architektur
Kind und Kegel,Area
Kinders (Anrede),Arme-Leute-...
Kirchengemeinde,Art
Kirchgemeinde,Artikel
Klan,Arznei
Klause,Arzneimittel
Klosterbruder,Aser
Knies(t) inne Augen,Aspekt
Koje,Assistenz
Kollege (Anrede),Asterisk
Kommune,Asteriskus
Kommunikation,Atempause
Kommunität,Aufbau
Konnex,Aufkommen
Kontakt,Auflage
Kooperation,Aufmerksamkeit
Kosmos,Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung
Krankenpflegerin,Aufmerksamkeitsdefizit-/Hyperaktivitätssyndrom
Krankenschwester,Aufmerksamkeitsdefizitstörung
Kriterium,Aufmerksamkeitsdefizitsyndrom
Lager,Aufnahme
Lagerstatt,Aufregung
Langzeiturlaub,Aufschrift
Latitüde,Aufsteller
Lebensabschnittsgefährtin,Augenstern
Lebensgefährtin,Ausarbeitung
Lebenspartnerin,Ausbilder
Lebensraum,Ausbildung
Leute (Anrede),Ausbildungszeit
Liebesbeziehung,Ausfällung (chem.)
Liebesfreundschaft,Ausgang
Liebhaber,Ausgrenzung
Loch,Ausmaß
Logement,Ausrichtung
Lover,Aussagekraft
Luftschutzkeller,Ausschluss
Luftschutzraum,Aussonderung
Mann Gottes (Anrede),Austausch
Mann ihres Herzens,Auswertung
Mann und Frau (sein),Auszeichnung
Matzel,Auszeichnung (Informatik)
Miefkoje,Auszeit
Mischpoke,Autorität
Mitarbeit,B-Promi
Miteinander,B-Prominenter
Miteinander-Klarkommen,Babe
Mithilfe,Baby
Morgenessen,Band
Muchtbude,Bann
Muschpoke,Bannfluch
Männekes (herablassend),Bannstrahl
Mönch,Baugruppe
Nachtasyl,Beachtung
Nachtlager,Beauty
Nachtruhe,Bedeutsamkeit
Nest,Bedeutung
Netzwerk,Bedingung
Notdienst,Beendigung
Nähe,Beendung
Oase,Befehl
Obdach,Befund
Obdachlosenheim,Begegnung
Obhut,Begehung
Ordensbruder,Begeisterung
Ort,Begeisterungsfähigkeit
Ortswechsel,Beglaubigung
Paradies,Begrenzung
Paradies auf Erden,Begutachtung
Partnerin,Begünstigung
Patenschaft,Beherrschung
Pause,Beihilfe
Pfarre,Beisammensein
Pfarrei,Beistand
Pfarrgemeinde,Bejahung
Pflegefachkraft,Belang
Pflegefamilie,Belehrung
Pflegekraft,Belobigung
Pflegeperson,Belohnungsssytem
Pflegerin,Belustigung
Pflegestelle,Bemerkung
Pflegevater,Benamsung
Pflegschaft,Benamung
Platz,Benennung
Pofe,Beratung
Protektion,Berufsorientierung
Provenienz,Berührung
Rattenloch,Beschaffenheit
Raum,Bescheinigung
Raum...,Beschleunigung
Rayon,Beschriftung
Refugium,Beschränkung
Region,Beschäler
Relation,Besprechung
Residenz,Bestätigung
Ruhe,Betitelung
Ruhelager,Betrachtung
Ruheort,Betreuung
Ruhezone,Bettgenosse
Rumpelkammer,Beurkundung
Räumlichkeit,Beurteilung
Rückendeckung,Bevölkerungsschicht
Rückzugsort,Bewertung
Rückzugsstätte,Bewertung
Sabbatical,Bewunderung
Sabbatjahr,Bewältigung
Sand (in den Augen),Beziehung
Saustall,Beziehungskiste
Schaltschütz,Bezug
Schlaf,Bienchen
Schlaf in den Augen,Biene
Schlafkörnchen,Bilanz
Schlafplatz,Bilanzaufstellung
Schlafsand,Bildung
Schlafstatt,Bildungsanstalt
Schlafstelle,Bildungseinrichtung
Schlummer,Bildungsinstitution
Schonraum,Bildungsstätte
Schulter an Schulter,Bildungszentrum
Schutz,Billig...
Schutz und Schirm (formelhaft),Block
Schutzbau,Bock
Schutzmechanismus,Bombenerfolg
Schutzort,Bonmot
Schutzraum,Boyfriend
Schweinestall,Bremser
Schwelle,Brett
Schwester,Brigade
Schwesterherz,Brotzeit
Schütz,Brückenschlag
Seelenverwandtschaft,Buchung
Seite an Seite,Bunny
Sektor,Burnout
Sicherheit,Burnout-Syndrom
Single,Busfahrkarte
Sippe,Bärchen
Sippschaft,Büchertasche
Sitz,Bühnenstück
Sorge,Clownerie
Sphäre,Coach
Spielraum,Codierung
"Sportsfreund (Anrede, leicht herablassend)",Coding
Stab und Stütze (bibl.),Combo
Stamm,Consulting
Stecher,Contenance
Stiefvater,Couleur
Stopp,Dackelschule
Stube,Darbietung
Support,Darling
Territorium,Datensatz
Thematik,Datum (plural: Daten)
Time-out,Deckelung (der Kosten)
Topf,Dekorierung
Traumsand,Denkzettel
Treff,Desintegration
Treffen,Diagnose
Tätigkeitsunterbrechung,Differenziertheit
Umgang,Diktat
Universum,Dimension
Unterbrechung,Direktor
Unterbruch,Diskriminierung
Unterkunft,Diversität
Unterlass,Domäne
Unterstützung,Dozent
Unterstützungsangebot,Drama
Ursprung,Drogen
Verantwortung,Drolerie
Verbindung,Druck
Verbundenheit,Durchführung
Verehrtester,Durchsetzung
Vereinigung,Durchsetzungsfähigkeit
Verfügungsgewalt,"Döneken (Rhein., Plural Dönekes)"
Verhältnis,Echo
Verknüpfung,Ehrenbezeigung
Versammlung,Ehrerbietung
Vertrautheit,Ehrgeizler
Verwandtschaft,Ehrgeizling
Volks,Ehrung
Vögel,Einbettung
WG,Einengung
Wechselbeziehung,Einfluss
Weltall,Einfügung
Weltenraum,Einlauf
Weltraum,Einrichtung
Wie,Einschlag
Wiedersehen,Einschluss
Wo,Einschreibung
Wohneinheit,Einschränkung
Wohngemeinschaft,Einschub
Wohngruppe,Einschätzung
Wohnsitz,Einseitigkeit
Wohnstatt,Einstellung
Wohnstätte,Einstufung
Wohnung,Eintrag
Wurzeln,Eintragung
Ziehvater,Einzeichnung
Zimmer,Elementgruppe
Zmorge(n),Elterngespräch
Zuflucht,Elternhaus
Zufluchtsort,Elternrat
Zufluchtsstätte,Elternversammlung
Zugehörigkeit,Empfehlung
Zuhause,Empfehlungsbrief
Zuordnung,Empfehlungsschreiben
Zusammenarbeit,Ende
Zusammenhang,Engel
Zusammenkunft,Engelchen
Zusammenleben,Engelmaus
Zusammensein,Engelsschein
Zusammenspiel,Engineeringarbeit
Zusammentreffen,Ensemble
Zusammenwirken,Entertainment
Zweierbeziehung,Entfaltung
Zweierkiste,Entgegenkommen
aber,Enthusiasmus
abgesehen davon,Entscheidungsmacht
abseits dessen,Entstehung
absteigen,Entstehungsgeschichte
alldieweil,Entwicklung
alle Mann hoch,Entwicklungsprozess
alle zusammen,Entwicklungsverlauf
allein,Entwicklungsweg
allein auf weiter Flur,Entzücken
allein gelassen,Entzückung
allein lebend,Epigramm
allein(e),Erfindung
alleinig,Erfolg
alleinstehend,Erfolgsgeschichte
allerdings,Erforderlichkeit
alles zusammen,Erforschung
alles zusammengerechnet,Erfüllung
